title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
Border Collie puppies for sale,£850,"Pwllheli, Gwynedd",https://www.preloved.co.uk/adverts/show/123006363/border-collie-puppies-for-sale,Border collie,Mixed Litter,10 weeks,at 8 weeks,No,Yes,No,First jab,Vet check,Private Seller,209.0,21 days ago,C,,March 2016
Black Labrador puppies KC Reg Last 2 remaining boys,"£1,000","Alford, Lincs",https://www.preloved.co.uk/adverts/show/123006969/black-labrador-puppies-kc-reg-last-2-remaining-boys,Labrador,Mixed Litter,7 weeks,from 24th  of January 2026.,Yes - Breed Register,Yes,No,,,Private Seller,161.0,19 days ago,mel,,October 2009
Adorable Rubyred & White Cavapoo Puppies Available Now,"£1,800","Burnham, Buckinghamshire",https://www.preloved.co.uk/adverts/show/123000375/adorable-rubyred-white-cavapoo-puppies-available-now,Cavapoo,Mixed Litter,3 months,Now,No,Yes,No,"microchip and a comprehensive health check today, December 9th, and are all in excellent health. Sho",Vet health checked,Private Seller,270.0,39 days ago,Julie,Premium,August 2023
Miniature Dachshund Puppies available from 6th Feb,"£1,200","Scunthorpe, North Lincolnshire",https://www.preloved.co.uk/adverts/show/123007801/miniature-dachshund-puppies-available-from-6th-feb,Miniature Dachshund,Mixed Litter,5 weeks,at 8 weeks,No,Yes,No,First,Health Check,Private Seller,164.0,17 days ago,Nicola,,January 2018
Beautiful litter of Chinese red dog,"£1,000","Blackburn, Lancashire",https://www.preloved.co.uk/adverts/show/123006489/beautiful-litter-of-chinese-red-dog,Chinese red dog,Mixed Litter,3 months,Now,No,Yes,No,0,Yes,Private Seller,186.0,20 days ago,Regan,,January 2019
6 french bulldog puppies,"£1,200","Leeds, West Yorkshire",https://www.preloved.co.uk/adverts/show/123005698/6-french-bulldog-puppies,French bulldog,Mixed Litter,4 weeks,at 8 weeks,No,Yes,No,First,Yes,Private Seller,67.0,23 days ago,Lisa,,April 2017
6 month jack Russell chihuahua cross,£500,"Eastbourne, East Sussex",https://www.preloved.co.uk/adverts/show/123009712/6-month-jack-russell-chihuahua-cross,Jack Russell chihuahua cross,Female,6 months,Now,,Yes,No,Yes,Yes,Private Seller,296.0,12 days ago,HarrietCurtis,,December 2025
Tri coloured Jack Russell pups,£650,"Talgarth, Powys",https://www.preloved.co.uk/adverts/show/123006036/tri-coloured-jack-russell-pups,Jack Russell,Female,11 weeks,Now,No,Yes,No,Yes,Yes with the vets,Private Seller,497.0,22 days ago,Pugh,,December 2025
"Meet Fagan, currently residing in Durham",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123010416/meet-fagan-currently-residing-in-durham,Mixed,Male,7 years,Now,No,Yes,No,No,Yes,Rescue,111.0,11 days ago,Pawprints2freedom,,August 2024
KC Registered American cocker spaniel puppies,£950,"Bradford, West Yorkshire",https://www.preloved.co.uk/adverts/show/123005801/kc-registered-american-cocker-spaniel-puppies,American cocker spaniel,Mixed Litter,3 months,Now,Yes - Breed Register,Yes,No,up to date. They are KC registered. Both parents KC registered as well and mum can be seen.On collec,Vet health checked,Private Seller,94.0,22 days ago,D.M.,,October 2017
French bulldog puppies for sale,"£1,600",Preston,https://www.preloved.co.uk/adverts/show/123003125/french-bulldog-puppies-for-sale,French bulldog,Female,9 weeks,"now. Mum and dad can be seen at viewing. They will leave with first Vaccination, Chipped, wormed and",No,Yes,No,are booked for then.,Basic health checks,Private Seller,124.0,32 days ago,Missgravell,,January 2015
German Shepherd x DDR shepherd puppies for sale,"£1,250","Whepstead, Suffolk",https://www.preloved.co.uk/adverts/show/122996868/german-shepherd-x-ddr-shepherd-puppies-for-sale,DDR SHEPARD,Mixed Litter,10 weeks,on 19/12/25They will come with first vaccinations and microchips paid for at our vet that is 5 minut,No,Yes,No,and microchips paid for at our vet that is 5 minutes from us.,Yes,Private Seller,660.0,47 days ago,Karl,Premium,March 2012
Border terrier x pug pups 2 boys,£495,"North Yorks, North Yorkshire",https://www.preloved.co.uk/adverts/show/122998085/border-terrier-x-pug-pups-2-boys,Border Terrier x pug,Male,3 months,Now,,Yes,No,No,Yes,Private Seller,110.0,44 days ago,lisa,Premium,May 2010
10 month old bitch husky cross,£500,Bristol,https://www.preloved.co.uk/adverts/show/123009546/10-month-old-bitch-husky-cross,Husky x,Female,10 months,Now,No,Yes,No,Yes,Yes,Private Seller,121.0,13 days ago,Deedee,,April 2017
Cockerpoo puppies one girl available,£900,"Luton, Bedfordshire",https://www.preloved.co.uk/adverts/show/123004777/cockerpoo-puppies-one-girl-available,Cockapoo,Mixed Litter,7 weeks,at 8 weeks,,Yes,No,All of the puppy’s can be seen here with mum dad and a older sister Mum is a cocker she has amazing ,Yes,Private Seller,248.0,26 days ago,Daisydoodles6,,May 2024
Pure Australian Kelpie sheepdog puppies,£700,"Holmfirth, West Yorkshire",https://www.preloved.co.uk/adverts/show/123005443/pure-australian-kelpie-sheepdog-puppies,Australian Kelpie,Mixed Litter,8 weeks,at 8 weeks,No,Yes,No,No,by the time they’re ready to leave.,Private Seller,462.0,23 days ago,Farmers_Wife_90,,September 2022
WOLFADOODLE PUPPIES F1B REVERSE IRISH WOLFHOUND X,"£1,800","Morecambe, Lancashire",https://www.preloved.co.uk/adverts/show/122997665/wolfadoodle-puppies-f1b-reverse-irish-wolfhound-x,Mixed breed,Mixed Litter,11 weeks,"on dec 23rd once 8 weeks old.They will all be fully vet checked, microchipped, flea & worm treated &",No,Yes,No,1st vaccination,Full vet check,Private Seller,118.0,45 days ago,bobstan,Premium,May 2009
Stunning litter french bulldogs READY NOW,"£2,500","Cannock, Staffordshire",https://www.preloved.co.uk/adverts/show/123006936/stunning-litter-french-bulldogs-ready-now,French bulldog,Mixed Litter,8 weeks,at 8 weeks,No,Yes,No,Will come with 1st injections,Vet checked,Private Seller,46.0,19 days ago,vicky_weate,,February 2013
sprockerpoo x cockerpoo pups for sale,£750,"Wellingborough, Northants",https://www.preloved.co.uk/adverts/show/123006206/sprockerpoo-x-cockerpoo-pups-for-sale,sprockerpoo x cockerpoo,Mixed Litter,9 weeks,at 9 weeks 23rd January all we be microchipped vaccinated and vet checked . Can be seen with both mu,No,Yes,No,up to date on leaving,yes,Private Seller,425.0,21 days ago,jo,,April 2008
8 beautiful cocker Spaniel puppies,£950,"Newington, Kent",https://www.preloved.co.uk/adverts/show/123006039/8-beautiful-cocker-spaniel-puppies,Cocker spaniel,Mixed Litter,7 weeks,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,195.0,22 days ago,Charlotte,,November 2024
French bulldog puppies.,"£2,000","Gainsborough, Lincolnshire",https://www.preloved.co.uk/adverts/show/123005681/french-bulldog-puppies,French bulldog,Mixed Litter,5 weeks,at 10 weeks,,Yes,No,Will have injections,,Private Seller,30.0,23 days ago,bex newts,,May 2014
Blue Staffordshire bull terrier puppies,£800,"Birmingham, West Midlands",https://www.preloved.co.uk/adverts/show/122998898/blue-staffordshire-bull-terrier-puppies,Staffordshire bull terrier,Mixed Litter,7 weeks,at 8 weeks,No,No,No,,,Private Seller,1084.0,43 days ago,Mariejo,,December 2025
7wk old shitzhu puppies from a very loving home,£800,"Mansfield, Nottinghamshire",https://www.preloved.co.uk/adverts/show/123006322/7wk-old-shitzhu-puppies-from-a-very-loving-home,Shitzhu,Female,10 weeks,at 8 weeks,No,No,No,No,No,Private Seller,311.0,21 days ago,Emmatompo,,December 2025
LAST ONE LEFT Kc registered French bulldog puppy,"£1,000","Trowbridge, Somerset",https://www.preloved.co.uk/adverts/show/122983600/last-one-left-kc-registered-french-bulldog-puppy,French bulldog,Female,3 months,at 9 weeks,Yes - Breed Register,Yes,No,microchips and wormer treatment next vaccinations are due 2nd of January at 12 weeks old. One blue a,Also will be health checked when of age,Private Seller,416.0,76 days ago,scalesandfangs87,Premium,October 2010
Superb litter of exceptional quality Saints Bernard puppies,"£1,800","Penrith, Cumbria",https://www.preloved.co.uk/adverts/show/123006757/superb-litter-of-exceptional-quality-saints-bernard-puppies,Saint Bernard,Mixed Litter,7 weeks,at 8 weeks,No,Yes,No,and full health checks by a veterinary professional.,by a veterinary professional.,Private Seller,191.0,20 days ago,Danni,,May 2012
Beautiful F1B Goldendoodles,"£2,500","Newbury, Berkshire",https://www.preloved.co.uk/adverts/show/123008355/beautiful-f1b-goldendoodles,Goldendoodle,Mixed Litter,3 weeks,from 8 weeks old (21st Feb),No,Yes,No,,,Private Seller,48.0,16 days ago,Sj2018,,February 2018
Jack Russell with a smidge of Westie,£650,"Lutterworth, Leics",https://www.preloved.co.uk/adverts/show/122967641/jack-russell-with-a-smidge-of-westie,Jack Russell smidge of Westie,Mixed Litter,5 months,their birth home to brighten up someone’s world.,No,Yes,No,Fully vaccinated,Twice by vet,Private Seller,2621.0,109 days ago,Rachael,Premium,January 2017
